Date,BTC.D,ETH.D,SOL.D,HYPE.D,OTHERS.D,BTC.D_Change,ETH.D_Change,SOL.D_Change,BTC.D_MA7_Change,ETH.D_MA7_Change,SOL.D_MA7_Change
2024-12-02,96.11180963495394,3.6535690605865847,0.008284607204380722,0.22633669725509037,0.22633669725509037,0.020806822034572292,-0.012244502995973239,-0.0007261461731270253,,,
2024-12-03,96.12871412411825,3.625484492382754,0.011292343235985724,0.23450904026302288,0.23450904026302288,0.016904489164303982,-0.028084568203830873,0.003007736031605002,,,
2024-12-04,96.03107867514363,3.734865346901347,0.011286917870199779,0.22276906008481728,0.22276906008481728,-0.09763544897461429,0.10938085451859303,-5.425365785944811e-06,,,
2024-12-05,95.9692427841222,3.7863760464256395,0.011894904921242202,0.23248626453091967,0.23248626453091967,-0.061835891021431166,0.05151069952429266,0.0006079870510424228,,,
2024-12-06,95.91373010747884,3.8451711166765437,0.013553832976652597,0.22754494286796267,0.22754494286796267,-0.05551267664336024,0.058795070250904136,0.0016589280554103955,-0.29263990134080586,0.2979553723312547,0.007552545420974834
2024-12-07,95.91512263101907,3.8421330769883237,0.013765180495221166,0.22897911149738723,0.22897911149738723,0.0013925235402325598,-0.003038039688219918,0.0002113475185685689,-0.1485074386500571,0.15123629859340548,0.005085713464200557
2024-12-08,95.96509516671254,3.797144917259704,0.01341008561636655,0.2243498304113905,0.2243498304113905,0.04997253569347038,-0.04498815972861969,-0.00035509487885461606,-0.12590764620682648,0.1313313536771461,0.004399332238858803
2024-12-09,96.10480675478222,3.6680083416637213,0.01280559242903,0.21437931112502773,0.21437931112502773,0.1397115880696731,-0.1291365755959828,-0.0006044931873365501,-0.007002880171725678,0.014439281077136545,0.004520985224649278
2024-12-10,96.16101980532758,3.6125087558777205,0.013784583919980954,0.21268685487471573,0.21268685487471573,0.05621305054536663,-0.05549958578600078,0.0009789914909509537,0.03230568120933697,-0.012975736505033364,0.00249224068399523
2024-12-11,96.12685133826572,3.6416533943205307,0.015392733466911652,0.21610253394683843,0.21610253394683843,-0.0341684670618605,0.029144638442810233,0.0016081495469306983,0.09577266312209076,-0.09321195258081616,0.004105815596711873
2024-12-12,96.03731352178887,3.7276235438237637,0.01712628606812836,0.21793664831922488,0.21793664831922488,-0.08953781647684877,0.085970149503233,0.0017335526012167094,0.06807073766667315,-0.05875250260187581,0.00523138114688616
2024-12-13,96.06563113861363,3.703283622382865,0.01820041050694507,0.2128848284965601,0.2128848284965601,0.028317616824750758,-0.024339921440898582,0.0010741244388167079,0.15190103113478415,-0.14188749429367853,0.004646577530292472
2024-12-14,96.10158152243048,3.6672484719655984,0.02276095030884399,0.20840905529507506,0.20840905529507506,0.03595038381685356,-0.03603515041726668,0.004560539801898921,0.18645889141140515,-0.1748846050227253,0.008995769813622824
2024-12-15,96.12952481176164,3.642406310638531,0.021929142260511878,0.20613973533930682,0.20613973533930682,0.02794328933116219,-0.02484216132706729,-0.0008318080483321125,0.16442964504909696,-0.1547386066211729,0.008519056644145328
2024-12-16,96.16288904203691,3.6164171078519556,0.024490416868075078,0.1962034332430614,0.1962034332430614,0.033364230275267914,-0.02598920278657557,0.0025612746075632,0.05808228725469178,-0.05159123381176567,0.011684824439045078
2024-12-17,96.25006656751835,3.524584293178406,0.023295217806323765,0.20205392149693124,0.20205392149693124,0.08717752548143665,-0.09183281467354965,-0.0011951990617513134,0.0890467621907618,-0.08792446269931453,0.009510633886342811
2024-12-18,96.29543319777396,3.4832837966811345,0.02262932962307007,0.1986536759218329,0.1986536759218329,0.04536663025561438,-0.04130049649727141,-0.0006658881832536934,0.16858185950823668,-0.15836959763939618,0.007236596156158419
2024-12-19,96.40315050373276,3.379790788395381,0.024942016256468455,0.19211669161538694,0.19211669161538694,0.10771730595880058,-0.1034930082857537,0.0023126866333983837,0.36583698194388603,-0.3478327554283829,0.007815730188340093
2024-12-20,96.356327571815,3.4228358364240172,0.029408955087056744,0.19142763667392498,0.19142763667392498,-0.04682293191775955,0.0430450480286364,0.004466938830588289,0.2906964332013757,-0.2804477859588479,0.011208544580111675
2024-12-21,96.47649996527393,3.3115396598108227,0.032054190475974464,0.17990618443926787,0.17990618443926787,0.1201723934589296,-0.11129617661319458,0.00264523538891772,0.37491844284345177,-0.3557088121547758,0.009293240167130474
2024-12-22,96.4643577392999,3.324383908202791,0.028514121680914304,0.18274423081639465,0.18274423081639465,-0.012142225974031362,0.012844248391968183,-0.0035400687950601605,0.3348329275382582,-0.3180224024357403,0.006584979420402426
2024-12-23,96.30387221270837,3.474141048430797,0.02899127358037324,0.19299546528046796,0.19299546528046796,-0.16048552659152904,0.14975714022800624,0.00047715189945893646,0.14098317067146127,-0.1422760594211585,0.004500856712298162
2024-12-24,96.36815027434369,3.4103739574066547,0.029094132323913138,0.1923816359257459,0.1923816359257459,0.06427806163532068,-0.06376709102414235,0.00010285874353989713,0.1180837068253453,-0.11421033577175121,0.005798914517589373
2024-12-25,96.39152337597072,3.390946683789664,0.025833428344654883,0.1916965118949571,0.1916965118949571,0.02337310162702977,-0.019427273616990703,-0.0032607039792582546,0.09609017819676069,-0.09233711289147051,0.0032040987215848117
