Peak Date,BTC.D at Peak,BTC.D Change,BTC Return (%),ETH Return (%),SOL Return (%),HYPE Return (%)
2022-11-09,93.44443773534263,-0.5215425494252912,7.621566679799607,17.01461877056221,2.719172901881284,
2022-12-16,93.37825152368121,-0.011583145048049914,33.47845348255507,33.2645063973942,77.92168828550723,
2023-01-28,93.51774875245599,0.46779618503734355,23.08771143082915,14.027083106261529,-11.968802956661339,
2023-02-21,93.55655604029579,0.0623644539384145,13.836542683068643,13.039054133388262,-12.55491684779243,
2023-03-20,94.04737144014334,-0.428790486263253,-3.158785453151458,4.452673344329594,-8.236630476309415,
2023-04-11,94.04294677351322,-0.44441993413532543,-14.49912308184247,-7.388526205520252,-31.985670127053957,
2023-04-30,93.90489599327798,0.3078041103225928,4.019791227982483,-1.3158240462067483,-21.292720777848906,
2023-06-28,94.22503524528656,-0.2690438431530566,-13.283653673248486,-9.324989949742035,30.024660838898033,
2023-08-08,94.05912858482634,0.3452364618145509,-6.0360243077200115,-11.924521143312393,-3.818232278921818,
2023-11-02,94.99490197998543,-0.27450836655116007,26.415438401912294,30.63981358969925,172.35837590142023,
2023-12-20,95.0276796522525,-0.454953920333395,19.404032724544564,30.74995102022624,36.4801012608502,
2024-01-08,95.07943753193167,-0.6606463674835226,45.410604677187294,66.82410882596272,48.52170716349229,
2024-02-11,94.86325271898414,0.14908481517181826,45.07128914314795,39.78660713859759,60.543199810470426,
2024-04-13,95.30469869090473,-0.4672926834196858,6.925122000169304,18.46042174598914,11.364779957548809,
2024-05-16,95.45736463985928,-0.7835554371480384,-0.5540716264199386,18.48548033089239,0.5137873020110817,
2024-06-11,94.86084769934392,0.8007579716077515,-9.484666705343159,-25.392329293227334,3.031662074600794,
2024-08-07,95.68548374304223,0.3600996802391023,14.1592798482008,4.423901356958293,1.2516393491914357,
2024-09-18,96.0972905028995,0.34617282653475456,45.73612063829915,29.789592650629835,77.30595390882205,
2024-11-20,96.61268842738772,0.059540353645815,7.155134112958894,4.45208326148101,6.440603484733831,
2024-12-21,96.47649996527393,0.6013306462868542,-0.6059334989451437,-18.621815967693355,-6.779123517939912,-25.46726008628738
2025-02-07,97.14465483799056,0.8141704415687769,-20.9855222555572,-43.84307751808865,-45.104246286456274,-50.873396255995004
2025-03-12,97.61132126485043,-0.14668602821376453,24.34713994226827,31.496101963463484,36.68985943963299,87.98251777183037
2025-04-21,98.05650520230505,-0.49382238068406537,18.042610435959382,52.38663229062872,2.5340830995755237,83.60399808417273
2025-05-07,98.00039128779476,-0.46738513243528246,12.57287258586599,41.93128051662316,3.1649184269989084,89.2011878046016
2025-06-22,97.68287253431276,-1.4855835058251756,11.320144876118965,89.53348290812042,36.9750228564711,13.43191760772704
2025-08-02,96.90978832257424,-0.657644714338403,5.440490104971407,28.247692180600414,39.87358206829872,27.51144089101645
