Lag (days),Lag (weeks),Lag (months),BTC → ETH (BTC leads),ETH → BTC (ETH leads),BTC → SOL (BTC leads),SOL → BTC (SOL leads),BTC → HYPE (BTC leads),HYPE → BTC (HYPE leads)
14,2.0,0.4666666666666667,-0.041264857023308,-0.08396523978421386,-0.12830289708225662,-0.05330146211049138,-0.08480741685765858,-0.03138764624569943
30,4.285714285714286,1.0,0.08018276390665115,0.04570991772763788,0.02687547656301626,-0.006635445274846106,0.08829621352239078,0.022803561060826115
60,8.571428571428571,2.0,-0.012321682664294816,-0.06093721892791249,0.03759973953837937,0.04876229242310055,0.014368437991339878,0.1219355844041302
