Strategy,Return (%),CAGR (%),Sharpe,Volatility (%),Max DD (%),Win Rate (%),Trades,Final ($)
HODL,-65.3,-65.43,-1.35,63.46,-66.89,46.3,1,3466.57
Buy Dip 10%,-60.58,-60.7,-1.16,62.96,-66.74,46.3,10,3942.26
Buy Dip 20%,-55.2,-55.32,-0.99,61.76,-66.74,44.38,10,4479.98
Buy Dip 30%,-44.67,-44.78,-0.95,49.1,-50.34,29.59,10,5533.1
Buy Dip 30% (profit_25),-44.67,-44.78,-0.95,49.1,-50.34,29.59,10,5533.1
Buy Dip 30% (sma_50),-36.59,-36.69,-0.8,44.27,-42.79,29.59,52,6341.18
Buy Dip 30% (ema_21),-34.12,-34.21,-0.81,41.12,-41.9,29.59,117,6588.21
Buy Dip 30% (bb_middle),-42.99,-43.1,-1.18,40.45,-48.58,29.59,98,5700.85
Buy Dip 30% (ema_cross),-35.97,-36.07,-0.77,44.78,-41.39,29.59,49,6402.91
Buy Dip 30% (sma_distance),-44.67,-44.78,-0.95,49.1,-50.34,29.59,10,5533.1
RSI <30,-56.83,-56.95,-1.04,61.88,-66.74,44.66,10,4317.11
MA Cross 50/200,0.0,0.0,0.0,0.0,0.0,0.0,0,10000.0
Bollinger 20d,-52.78,-52.9,-1.19,51.47,-57.72,44.38,10,4722.06
DCA 30d,-37.81,-37.91,-1.34,31.65,-41.78,46.3,11,6218.16
Vol-Adjusted DCA,-31.32,-31.41,-1.28,26.55,-35.28,42.47,12,6868.06
