Strategy,Return (%),CAGR (%),Sharpe,Volatility (%),Max DD (%),Win Rate (%),Trades,Final ($)
HODL,302.79,303.18,2.32,72.04,-51.86,56.01,1,40238.91
Buy Dip 10%,229.16,229.43,2.1,68.89,-45.51,48.09,10,32916.26
Buy Dip 20%,378.57,379.09,3.02,57.23,-17.32,46.99,10,47857.3
Buy Dip 30%,428.71,429.31,3.4,53.02,-17.32,46.99,10,52871.16
Buy Dip 30% (profit_25),66.57,66.63,2.0,27.28,-12.07,7.38,25,16657.22
Buy Dip 30% (sma_50),51.62,51.67,1.58,28.74,-12.07,15.85,18,15162.41
Buy Dip 30% (ema_21),33.02,33.05,1.48,20.62,-6.06,11.2,42,13302.22
Buy Dip 30% (bb_middle),32.04,32.07,1.39,21.47,-7.47,12.3,39,13204.24
Buy Dip 30% (ema_cross),82.03,82.1,1.88,35.05,-13.39,15.85,25,18202.58
Buy Dip 30% (sma_distance),100.17,100.26,1.96,39.03,-13.56,20.49,11,20016.71
RSI <30,241.75,242.04,2.16,68.52,-43.26,48.09,10,34175.26
MA Cross 50/200,215.41,215.66,3.2,38.13,-17.32,28.14,1,31540.71
Bollinger 20d,288.73,289.09,2.85,52.5,-23.19,48.09,10,38873.0
DCA 30d,195.21,195.43,3.07,37.53,-13.84,56.01,11,29518.32
Vol-Adjusted DCA,171.03,171.22,3.18,32.98,-11.72,51.37,12,27103.22
