Strategy,Return (%),CAGR (%),Sharpe,Volatility (%),Max DD (%),Win Rate (%),Trades,Final ($)
HODL,302.79,303.18,1.93,59.86,-51.86,56.01,1,40238.91
Buy Dip 10%,229.16,229.43,1.75,57.24,-45.51,48.09,10,32916.26
Buy Dip 20%,378.57,379.09,2.51,47.55,-17.32,46.99,10,47857.3
Buy Dip 30%,428.71,429.31,2.82,44.05,-17.32,46.99,10,52871.16
Buy Dip 30% (profit_25),66.57,66.63,1.66,22.67,-12.07,7.38,25,16657.22
Buy Dip 30% (sma_50),30.04,30.07,0.96,21.01,-12.07,5.74,23,13004.3
Buy Dip 30% (ema_21),28.78,28.8,1.19,15.58,-5.93,5.74,52,12878.14
Buy Dip 30% (bb_middle),26.33,26.35,1.12,15.31,-5.93,5.46,59,12633.19
Buy Dip 30% (ema_cross),33.34,33.36,1.13,19.16,-12.07,5.74,37,13333.53
Buy Dip 30% (sma_distance),100.17,100.26,1.63,32.43,-13.56,20.49,11,20016.71
RSI <30,241.75,242.04,1.8,56.94,-43.26,48.09,10,34175.26
MA Cross 50/200,215.41,215.66,2.66,31.68,-17.32,28.14,1,31540.71
Bollinger 20d,288.73,289.09,2.36,43.63,-23.19,48.09,10,38873.0
DCA 30d,195.21,195.43,2.55,31.19,-13.84,56.01,11,29518.32
Vol-Adjusted DCA,171.03,171.22,2.64,27.41,-11.72,51.37,12,27103.22
