Asset,Beta,Alpha (% annual),R-squared,P-value,Upside Capture %,Downside Capture %,BTC Up Days,BTC Down Days
ETH,1.4265816759685555,3.487800877779395,0.6307671486662103,2.177033245226385e-68,133.49649989447752,131.48534032412326,157,152
SOL,1.5782211309966114,-25.40278354971024,0.5840804932387161,1.9575443456210466e-60,150.35722330837865,159.67243378883168,157,152
HYPE,1.5364526094912545,275.9279442155889,0.24227011587023603,2.9311603495146707e-20,211.1533150375917,116.59784910998118,157,152
