Date,BTC,ETH,HYPE,SOL
2024-11-29,97461.5234375,3593.494384765625,6.079583168029785,243.54949951171875
2024-11-30,96449.0546875,3705.705322265625,8.714290618896484,237.74374389648438
2024-12-01,97279.7890625,3711.1650390625,9.12222957611084,237.06993103027344
2024-12-02,95865.3046875,3644.198486328125,8.263359069824219,225.75619506835938
2024-12-03,96002.1640625,3620.711669921875,11.277477264404297,234.2003173828125
2024-12-04,98768.53125,3841.3310546875,11.608661651611328,229.11929321289062
2024-12-05,96593.5703125,3811.00830078125,11.97228717803955,233.9987030029297
2024-12-06,99920.7109375,4005.810546875,14.120070457458496,237.0510711669922
2024-12-07,99923.3359375,4002.692626953125,14.340415954589844,238.54795837402344
2024-12-08,101236.015625,4005.70458984375,14.146639823913574,236.67233276367188
2024-12-09,97432.71875,3718.6904296875,12.982531547546387,217.34146118164062
2024-12-10,96675.4296875,3631.833740234375,13.85832405090332,213.82461547851562
2024-12-11,101173.03125,3832.822021484375,16.200775146484375,227.44683837890625
2024-12-12,100043.0,3883.1015625,17.840618133544922,227.02671813964844
2024-12-13,101459.2578125,3911.205322265625,19.22227668762207,224.83729553222656
2024-12-14,101372.96875,3868.4052734375,24.00943946838379,219.84075927734375
2024-12-15,104298.6953125,3951.941162109375,23.792699813842773,223.6576690673828
2024-12-16,106029.71875,3987.48095703125,27.003265380859375,216.3349609375
2024-12-17,106140.6015625,3886.76611328125,25.68900489807129,222.8167266845703
2024-12-18,100041.5390625,3618.791259765625,23.509660720825195,206.38174438476562
2024-12-19,97490.953125,3417.927978515625,25.223459243774414,194.28451538085938
2024-12-20,97755.9296875,3472.553466796875,29.83612823486328,194.2081756591797
2024-12-21,97224.7265625,3337.222412109375,32.30278778076172,181.30145263671875
2024-12-22,95104.9375,3277.53515625,28.112287521362305,180.16891479492188
2024-12-23,94686.2421875,3415.785400390625,28.504302978515625,189.75369262695312
2024-12-24,98676.09375,3492.0498046875,29.79091453552246,196.98902893066406
2024-12-25,99299.1953125,3493.2353515625,26.612699508666992,197.4790802001953
2024-12-26,95795.515625,3331.225830078125,27.120712280273438,188.21810913085938
2024-12-27,94164.859375,3328.9169921875,27.175500869750977,183.82847595214844
2024-12-28,95163.9296875,3397.90234375,29.16713523864746,195.01353454589844
2024-12-29,93530.2265625,3349.513427734375,27.547779083251953,189.7442626953125
2024-12-30,92643.2109375,3356.392578125,26.993515014648438,191.02804565429688
2024-12-31,93429.203125,3332.53173828125,23.89495277404785,189.2644805908203
2025-01-01,94419.7578125,3353.504150390625,26.322181701660156,193.8737335205078
2025-01-02,96886.875,3451.392578125,23.189088821411133,207.7670440673828
2025-01-03,98107.4296875,3605.009765625,24.424726486206055,217.74732971191406
2025-01-04,98236.2265625,3657.706787109375,24.93999671936035,216.6229248046875
2025-01-05,98314.9609375,3634.103759765625,24.40407371520996,213.3936309814453
2025-01-06,102078.0859375,3688.611328125,25.227935791015625,218.72312927246094
2025-01-07,96922.703125,3381.577392578125,23.63067054748535,202.23025512695312
2025-01-08,95043.5234375,3326.329345703125,22.58957862854004,197.55905151367188
2025-01-09,92484.0390625,3219.4306640625,20.244874954223633,185.02528381347656
2025-01-10,94701.453125,3267.489990234375,20.709060668945312,187.5791778564453
2025-01-11,94566.59375,3282.2177734375,20.916793823242188,187.99551391601562
2025-01-12,94488.4375,3265.951171875,21.101482391357422,188.5603790283203
2025-01-13,94516.5234375,3135.499755859375,21.626585006713867,182.83535766601562
2025-01-14,96534.046875,3223.6845703125,22.99149513244629,187.49859619140625
2025-01-15,100504.4921875,3450.53759765625,24.353694915771484,205.91134643554688
2025-01-16,99756.90625,3308.34521484375,23.50821876525879,211.22784423828125
2025-01-17,104462.0390625,3474.107177734375,23.057104110717773,219.62161254882812
2025-01-18,104408.0703125,3305.78955078125,21.932174682617188,261.8697509765625
2025-01-19,101089.609375,3208.96435546875,20.28104591369629,250.58636474609375
2025-01-20,102016.6640625,3278.035400390625,20.58922576904297,242.25022888183594
2025-01-21,106146.265625,3327.40625,23.183120727539062,250.41378784179688
2025-01-22,103653.0703125,3240.224609375,24.25998306274414,257.23736572265625
2025-01-23,103960.171875,3334.714111328125,22.112546920776367,253.4552001953125
2025-01-24,104819.484375,3309.554931640625,23.02239418029785,253.36122131347656
2025-01-25,104714.6484375,3317.26953125,23.09908103942871,256.0735778808594
2025-01-26,102682.5,3236.13427734375,22.2183895111084,240.88345336914062
2025-01-27,102087.6875,3178.92041015625,23.231664657592773,235.07444763183594
2025-01-28,101332.4765625,3077.112548828125,22.302547454833984,227.20396423339844
2025-01-29,103703.2109375,3112.9990234375,23.745817184448242,227.94493103027344
2025-01-30,104735.3046875,3247.780029296875,27.424545288085938,239.0231475830078
2025-01-31,102405.0234375,3298.26513671875,26.90484619140625,231.63790893554688
2025-02-01,100655.90625,3118.32861328125,23.113807678222656,213.78501892089844
2025-02-02,97688.9765625,2868.69287109375,22.381561279296875,203.11962890625
2025-02-03,101405.421875,2884.566650390625,25.185035705566406,216.1495819091797
2025-02-04,97871.8203125,2735.05126953125,25.12031364440918,207.09197998046875
2025-02-05,96615.4453125,2787.779052734375,24.762439727783203,195.98814392089844
2025-02-06,96593.296875,2688.40087890625,23.855052947998047,189.77249145507812
2025-02-07,96529.0859375,2622.211181640625,22.836088180541992,192.20465087890625
2025-02-08,96482.453125,2632.308349609375,23.42882537841797,199.5998992919922
2025-02-09,96500.09375,2628.72119140625,23.03217124938965,200.49755859375
2025-02-10,97437.5546875,2661.166748046875,23.3095760345459,200.35635375976562
