Date,BTC,ETH,SOL,HYPE
2024-10-05,62089.94921875,2415.6318359375,142.7117462158203,
2024-10-06,62818.953125,2439.957763671875,146.44236755371094,
2024-10-07,62236.66015625,2421.796630859375,143.99179077148438,
2024-10-08,62131.96875,2439.8408203125,143.39442443847656,
2024-10-09,60582.1015625,2368.283447265625,139.31553649902344,
2024-10-10,60274.5,2383.85791015625,138.88841247558594,
2024-10-11,62445.08984375,2436.513427734375,145.3811492919922,
2024-10-12,63193.0234375,2476.523193359375,146.5002899169922,
2024-10-13,62851.375,2467.677001953125,147.5724334716797,
2024-10-14,66046.125,2628.89990234375,157.44512939453125,
2024-10-15,67041.109375,2606.02197265625,154.7206268310547,
2024-10-16,67612.71875,2611.10205078125,154.23422241210938,
2024-10-17,67399.8359375,2604.2734375,150.31602478027344,
2024-10-18,68418.7890625,2641.55224609375,154.97593688964844,
2024-10-19,68362.734375,2648.656982421875,159.6393585205078,
2024-10-20,69001.703125,2746.364013671875,166.9398193359375,
2024-10-21,67367.8515625,2665.712158203125,166.2168731689453,
2024-10-22,67361.40625,2620.197509765625,167.26014709472656,
2024-10-23,66432.1953125,2509.098876953125,170.9324951171875,
2024-10-24,68161.0546875,2534.49853515625,177.1569366455078,
2024-10-25,66642.4140625,2435.93408203125,164.75689697265625,
2024-10-26,67014.6953125,2479.603271484375,170.70596313476562,
2024-10-27,67929.296875,2505.940673828125,176.5491943359375,
2024-10-28,69907.7578125,2565.34814453125,178.1049041748047,
2024-10-29,72720.4921875,2637.95751953125,179.36074829101562,
2024-10-30,72339.5390625,2657.37255859375,174.9249725341797,
2024-10-31,70215.1875,2515.79931640625,168.42999267578125,
2024-11-01,69482.46875,2511.885498046875,166.2621307373047,
2024-11-02,69289.2734375,2491.068603515625,166.01034545898438,
2024-11-03,68741.1171875,2456.42529296875,162.55130004882812,
2024-11-04,67811.5078125,2397.0263671875,157.74710083007812,
2024-11-05,69359.5625,2422.650634765625,166.72239685058594,
2024-11-06,75639.078125,2724.169189453125,186.9547882080078,
2024-11-07,75904.859375,2895.58544921875,196.3345947265625,
2024-11-08,76545.4765625,2962.296630859375,199.9390106201172,
2024-11-09,76778.8671875,3131.14453125,200.19491577148438,
2024-11-10,80474.1875,3191.331298828125,210.6137237548828,
2024-11-11,88701.484375,3374.81298828125,222.6416778564453,
2024-11-12,87955.8125,3246.25732421875,212.2318115234375,
2024-11-13,90584.1640625,3192.595947265625,215.18455505371094,
2024-11-14,87250.4296875,3058.94873046875,209.2190704345703,
2024-11-15,91066.0078125,3103.04052734375,218.09490966796875,
2024-11-16,90558.4765625,3133.27392578125,215.8488311767578,
2024-11-17,89845.8515625,3075.66162109375,237.57553100585938,
2024-11-18,90542.640625,3207.8564453125,239.79425048828125,
2024-11-19,92343.7890625,3111.384033203125,238.09754943847656,
2024-11-20,94339.4921875,3072.18798828125,235.4236602783203,
2024-11-21,98504.7265625,3361.053955078125,257.0658874511719,
2024-11-22,98997.6640625,3331.600830078125,256.5186767578125,
2024-11-23,97777.28125,3396.223388671875,255.1785125732422,
2024-11-24,98013.8203125,3363.659912109375,252.91952514648438,
2024-11-25,93102.296875,3413.5439453125,234.4466094970703,
2024-11-26,91985.3203125,3326.517333984375,230.9781951904297,
2024-11-27,95962.53125,3657.249267578125,242.30221557617188,
2024-11-28,95652.46875,3579.8115234375,237.76400756835938,
2024-11-29,97461.5234375,3593.494384765625,243.54949951171875,6.079583168029785
2024-11-30,96449.0546875,3705.705322265625,237.74374389648438,8.714290618896484
2024-12-01,97279.7890625,3711.1650390625,237.06993103027344,9.12222957611084
2024-12-02,95865.3046875,3644.198486328125,225.75619506835938,8.263359069824219
2024-12-03,96002.1640625,3620.711669921875,234.2003173828125,11.277477264404297
2024-12-04,98768.53125,3841.3310546875,229.11929321289062,11.608661651611328
2024-12-05,96593.5703125,3811.00830078125,233.9987030029297,11.97228717803955
2024-12-06,99920.7109375,4005.810546875,237.0510711669922,14.120070457458496
2024-12-07,99923.3359375,4002.692626953125,238.54795837402344,14.340415954589844
2024-12-08,101236.015625,4005.70458984375,236.67233276367188,14.146639823913574
2024-12-09,97432.71875,3718.6904296875,217.34146118164062,12.982531547546387
2024-12-10,96675.4296875,3631.833740234375,213.82461547851562,13.85832405090332
2024-12-11,101173.03125,3832.822021484375,227.44683837890625,16.200775146484375
2024-12-12,100043.0,3883.1015625,227.02671813964844,17.840618133544922
2024-12-13,101459.2578125,3911.205322265625,224.83729553222656,19.22227668762207
2024-12-14,101372.96875,3868.4052734375,219.84075927734375,24.00943946838379
2024-12-15,104298.6953125,3951.941162109375,223.6576690673828,23.792699813842773
2024-12-16,106029.71875,3987.48095703125,216.3349609375,27.003265380859375
2024-12-17,106140.6015625,3886.76611328125,222.8167266845703,25.68900489807129
2024-12-18,100041.5390625,3618.791259765625,206.38174438476562,23.509660720825195
2024-12-19,97490.953125,3417.927978515625,194.28451538085938,25.223459243774414
2024-12-20,97755.9296875,3472.553466796875,194.2081756591797,29.83612823486328
2024-12-21,97224.7265625,3337.222412109375,181.30145263671875,32.30278778076172
2024-12-22,95104.9375,3277.53515625,180.16891479492188,28.112287521362305
2024-12-23,94686.2421875,3415.785400390625,189.75369262695312,28.504302978515625
2024-12-24,98676.09375,3492.0498046875,196.98902893066406,29.79091453552246
2024-12-25,99299.1953125,3493.2353515625,197.4790802001953,26.612699508666992
2024-12-26,95795.515625,3331.225830078125,188.21810913085938,27.120712280273438
2024-12-27,94164.859375,3328.9169921875,183.82847595214844,27.175500869750977
