Date,ETH,SOL,HYPE,Month
2022-10-31,,,,2022-10
2022-11-30,-17.614505548377224,-56.71574438388225,,2022-11
2022-12-31,-7.634346593989738,-29.431636814978223,,2022-12
2023-01-31,32.567975152872066,140.46234595122255,,2023-01
2023-02-28,1.2202527095311444,-8.500805818873069,,2023-02
2023-03-31,13.458347779136815,-3.403350890157164,,2023-03
2023-04-30,3.013257733733843,7.848271943883289,,2023-04
2023-05-31,-0.14885114001489397,-8.792527595429823,,2023-05
2023-06-30,3.151246505785199,-9.254392524956634,,2023-06
2023-07-31,-3.9844325996528096,25.52549603391887,,2023-07
2023-08-31,-11.341852341775926,-16.803136030686172,,2023-08
2023-09-30,1.5509296142236728,8.411691958690515,,2023-09
2023-10-31,8.694377376798723,80.03856392569317,,2023-10
2023-11-30,12.997660282981037,53.79638450888622,,2023-11
2023-12-31,11.1526809535081,71.34206697353405,,2023-12
2024-01-31,0.04704167168723128,-4.410694640210499,,2024-01
2024-02-29,46.412031614766526,29.561155761315263,,2024-02
2024-03-31,9.154521864078191,61.380702859577376,,2024-03
2024-04-30,-17.423097361598007,-37.41799047336032,,2024-04
2024-05-31,24.82299261480101,30.461703131061736,,2024-05
2024-06-30,-8.700402549978836,-11.558489808555928,,2024-06
2024-07-31,-5.872415229689487,17.293489569119714,,2024-07
2024-08-31,-22.21715164052249,-21.214409386048004,,2024-08
2024-09-30,3.5676440896093675,12.738180727504766,,2024-09
2024-10-31,-3.3523367014798633,10.360163823169843,,2024-10
2024-11-30,47.29733401625702,41.1528553314898,,2024-11
2024-12-31,-10.070244434768515,-20.391393906361778,174.204221766863,2024-12
2025-01-31,-1.0282453177827167,22.388473638820617,12.596356418111121,2025-01
2025-02-28,-32.14901832713606,-36.094219327771945,-25.588910106191122,2025-02
2025-03-31,-18.518446597705108,-15.764292292936144,-35.14887801420399,2025-03
2025-04-30,-1.6290055367711775,18.40429361176692,53.869382205590654,2025-04
2025-05-31,40.99242388772808,6.0928932522869905,64.33048482010257,2025-05
2025-06-30,-1.685313320350279,-1.2153048709803382,20.017597244120978,2025-06
2025-07-31,48.67326593849237,11.43180675400881,3.5834914866371914,2025-07
2025-08-31,18.754830611988147,16.49372274447385,8.532841809900438,2025-08
2025-09-30,-5.5594638895336885,3.9228511113780007,2.132614811343192,2025-09
2025-10-31,8.898139554001272,11.621389148936467,9.403288320630864,2025-10
