Cryptocurrency,Annualized Return (%),Downside Deviation (%),Sortino Ratio
ETH,317.5340732104221,49.19665663226988,6.373076844509871
SOL,901.4244625422909,54.429091113584825,16.487956057717543
HYPE,,65.15752064214189,
