Date,ETH,SOL,HYPE
2022-10-06,1351.70947265625,33.34281921386719,
2022-10-07,1332.5169677734375,33.00146484375,
2022-10-08,1315.50048828125,32.57793426513672,
2022-10-09,1322.604248046875,32.913883209228516,
2022-10-10,1291.337646484375,31.970834732055664,
2022-10-11,1279.57568359375,30.77686882019043,
2022-10-12,1294.9063720703125,31.165485382080078,
2022-10-13,1288.1239013671875,30.544519424438477,
2022-10-14,1297.422119140625,30.007417678833008,
2022-10-15,1274.8717041015625,29.575347900390625,
2022-10-16,1306.296630859375,30.168840408325195,
2022-10-17,1331.713623046875,31.224876403808594,
2022-10-18,1310.447021484375,30.164331436157227,
2022-10-19,1285.7442626953125,28.900798797607422,
2022-10-20,1283.200927734375,28.08509635925293,
2022-10-21,1299.9464111328125,28.10867691040039,
2022-10-22,1314.2991943359375,28.01386260986328,
2022-10-23,1363.447021484375,29.270071029663086,
2022-10-24,1344.99853515625,28.3100643157959,
2022-10-25,1461.6654052734375,30.93997573852539,
2022-10-26,1566.566650390625,31.28472137451172,
2022-10-27,1514.3748779296875,30.630624771118164,
2022-10-28,1555.4779052734375,32.111263275146484,
2022-10-29,1619.698486328125,32.85712814331055,
2022-10-30,1590.7833251953125,32.9659309387207,
2022-10-31,1572.7144775390625,32.61103820800781,
2022-11-01,1579.70458984375,32.2484245300293,
2022-11-02,1519.7117919921875,30.788076400756836,
2022-11-03,1531.541748046875,30.84387969970703,
2022-11-04,1645.0933837890625,33.780853271484375,
2022-11-05,1627.968017578125,36.76576232910156,
2022-11-06,1572.2347412109375,32.6835823059082,
2022-11-07,1568.59130859375,29.60134506225586,
2022-11-08,1332.8355712890625,24.152936935424805,
2022-11-09,1100.1697998046875,13.94085693359375,
2022-11-10,1299.464599609375,17.681407928466797,
2022-11-11,1287.2210693359375,16.326745986938477,
2022-11-12,1255.268310546875,14.53900146484375,
2022-11-13,1221.8192138671875,13.164528846740723,
2022-11-14,1241.604248046875,14.00135612487793,
2022-11-15,1251.7362060546875,14.301294326782227,
2022-11-16,1215.6025390625,14.285508155822754,
2022-11-17,1200.80859375,13.638734817504883,
2022-11-18,1212.30029296875,13.247496604919434,
2022-11-19,1218.4267578125,12.851014137268066,
2022-11-20,1142.4666748046875,12.252833366394043,
2022-11-21,1108.35302734375,11.846208572387695,
2022-11-22,1135.1734619140625,12.435625076293945,
2022-11-23,1183.1995849609375,14.35151195526123,
2022-11-24,1203.983154296875,14.582350730895996,
2022-11-25,1198.9259033203125,14.063138008117676,
2022-11-26,1205.89794921875,14.159193992614746,
2022-11-27,1195.126953125,14.115766525268555,
2022-11-28,1170.086181640625,13.404518127441406,
2022-11-29,1216.9012451171875,13.369733810424805,
2022-11-30,1295.6885986328125,14.115445137023926,
2022-12-01,1276.27392578125,13.480968475341797,
2022-12-02,1294.3033447265625,13.7156400680542,
2022-12-03,1243.3348388671875,13.302457809448242,
2022-12-04,1280.256591796875,13.718218803405762,
2022-12-05,1259.6767578125,13.8311128616333,
2022-12-06,1271.65380859375,14.288854598999023,
2022-12-07,1232.4375,13.5196533203125,
2022-12-08,1281.1163330078125,13.68922233581543,
2022-12-09,1264.2847900390625,13.580187797546387,
2022-12-10,1266.3841552734375,13.576995849609375,
2022-12-11,1263.8685302734375,13.427809715270996,
2022-12-12,1274.6190185546875,13.318544387817383,
2022-12-13,1320.5491943359375,13.833986282348633,
2022-12-14,1309.3287353515625,14.140525817871094,
2022-12-15,1266.3538818359375,14.02151107788086,
2022-12-16,1168.2593994140625,12.266606330871582,
2022-12-17,1188.1495361328125,12.504404067993164,
2022-12-18,1184.7152099609375,12.41312026977539,
2022-12-19,1167.60986328125,11.932655334472656,
2022-12-20,1217.70361328125,12.28051471710205,
2022-12-21,1213.5999755859375,12.128985404968262,
2022-12-22,1218.18212890625,11.794829368591309,
2022-12-23,1220.159423828125,11.786166191101074,
2022-12-24,1221.1485595703125,11.444275856018066,
2022-12-25,1218.9620361328125,11.387903213500977,
2022-12-26,1226.974365234375,11.306611061096191,
2022-12-27,1212.7916259765625,11.085430145263672,
2022-12-28,1189.986083984375,9.755906105041504,
2022-12-29,1201.5953369140625,9.651782989501953,
2022-12-30,1199.2327880859375,9.880176544189453,
2022-12-31,1196.771240234375,9.961038589477539,
2023-01-01,1200.96484375,9.982172966003418,
2023-01-02,1214.6566162109375,11.272967338562012,
2023-01-03,1214.77880859375,13.344045639038086,
2023-01-04,1256.526611328125,13.435112953186035,
2023-01-05,1250.4385986328125,13.419329643249512,
2023-01-06,1269.3790283203125,13.52584171295166,
2023-01-07,1264.2703857421875,13.092267990112305,
2023-01-08,1287.3594970703125,14.31993293762207,
2023-01-09,1321.5389404296875,16.30246353149414,
2023-01-10,1336.5860595703125,16.19672393798828,
2023-01-11,1387.9327392578125,16.35941505432129,
2023-01-12,1417.9384765625,16.619043350219727,
2023-01-13,1451.6148681640625,18.28844451904297,
2023-01-14,1550.7069091796875,24.24945831298828,
2023-01-15,1552.4794921875,22.873306274414062,
2023-01-16,1576.83349609375,23.577564239501953,
2023-01-17,1567.8460693359375,22.884063720703125,
2023-01-18,1515.5069580078125,20.85063362121582,
2023-01-19,1552.5565185546875,21.42676544189453,
2023-01-20,1659.754150390625,25.54827117919922,
2023-01-21,1627.1181640625,24.627838134765625,
2023-01-22,1628.382080078125,24.232789993286133,
2023-01-23,1628.2510986328125,24.357807159423828,
2023-01-24,1556.604248046875,22.795673370361328,
2023-01-25,1611.7110595703125,24.57144546508789,
2023-01-26,1603.10595703125,24.350696563720703,
